id,name,carry,support,nuker,disabler,jungler,durable,escape,pusher,initiator,winrate,xpm,gpm,kills,deaths,assists
45,Pugna,0,0,2,0,0,0,0,2,0,0.446327684,389.5517891,359.5141243,6.576271186,10.25423729,12.66478343
46,Templar Assassin,2,0,0,0,0,0,1,0,0,0.497282609,527.3378623,466.9012681,10.21014493,7.503623188,8.460144928
47,Viper,1,0,0,1,0,2,0,0,1,0.495291902,467.2015066,420.1563089,10.61864407,8.039548023,12.01412429
48,Luna,2,0,2,0,0,0,0,1,0,0.504232164,491.3458283,465.5042322,8.30471584,8.38331318,11.10882709
49,Dragon Knight,2,0,1,2,1,2,0,3,1,0.495327103,458.6510903,412.605919,6.587227414,7.629283489,11.36292835
50,Dazzle,0,3,1,1,0,0,0,0,0,0.539175258,340.0237113,306.3835052,3.282474227,7.931958763,11.61649485
51,Clockwerk,0,0,1,2,0,1,0,0,3,0.482799526,397.747331,360.71293,7.62633452,8.99881376,15.4282325
52,Leshrac,1,1,3,1,0,0,0,3,0,0.442307692,419.4711538,385.0846154,6.594230769,9.365384615,12.70192308
53,Nature's Prophet,1,0,1,0,3,0,1,3,0,0.436606292,446.1248808,501.4642517,5.695900858,8.093422307,11.24022879
54,Lifestealer,2,0,0,1,1,2,1,0,0,0.484390735,496.653575,445.8932528,7.856998993,7.258811682,9.920443102
55,Dark Seer,0,0,0,1,1,0,1,0,1,0.499139415,414.9500861,383.3459552,4.743545611,7.726333907,15.66092943
56,Clinkz,2,0,0,0,0,0,3,1,0,0.434301521,455.2987552,411.3679115,9.506224066,7.940525588,7.094052559
57,Omniknight,0,2,1,0,0,1,0,0,0,0.614173228,380.6525591,327.3248031,3.720472441,6.94980315,10.15551181
58,Enchantress,0,2,0,1,3,1,0,2,0,0.427109974,411.0971867,367.6393862,7.125319693,7.025575448,8.601023018
59,Huskar,2,0,0,0,0,2,0,0,1,0.462686567,449.4907814,411.5425812,11.47673398,10.84723442,9.109745391
60,Night Stalker,1,0,1,2,0,2,0,0,2,0.512518409,455.6671576,403.6111929,9.213549337,7.782032401,10.87481591
61,Broodmother,1,0,1,0,0,0,3,3,0,0.44516129,448.8236559,398.288172,6.789247312,8.015053763,6.989247312
62,Bounty Hunter,0,0,1,0,0,0,2,0,0,0.479558728,416.1025308,433.1317326,8.723556132,8.304347826,9.005840363
63,Weaver,2,0,0,0,0,0,3,0,0,0.506944444,507.7930556,443.4166667,9.7875,6.813888889,11.64444444
64,Jakiro,0,1,2,1,0,0,0,2,0,0.536858974,373.4262821,338.2900641,4.434294872,9.068910256,14.99519231
65,Batrider,0,0,0,2,2,0,1,0,3,0.377777778,392.5518519,341.6333333,5.688888889,8.874074074,13.13333333
66,Chen,0,2,0,0,3,0,0,2,0,0.4,300.0666667,305.5666667,3.216666667,7.222222222,8.277777778
67,Spectre,3,0,0,0,0,1,1,0,0,0.580952381,517.7857143,467.8968254,9.598412698,7.044444444,16.5952381
69,Doom,1,0,1,2,0,2,0,0,2,0.523911492,490.1377587,484.6488223,7.623840114,7.139186296,11.71163455
68,Ancient Apparition,0,2,1,1,0,0,0,0,0,0.493814433,342.1402062,324.5309278,5.65257732,7.772164948,13.95257732
70,Ursa,2,0,0,1,1,1,0,0,0,0.58974359,520.9109687,443.8839031,11.2022792,7.736467236,8.774216524
71,Spirit Breaker,1,0,0,2,0,2,1,0,2,0.520661157,435.9793388,377.1463991,9.078512397,9.299881936,14.48819362
72,Gyrocopter,3,0,1,1,0,0,0,0,0,0.499508358,479.4346116,452.1543756,9.357915438,8.330383481,12.46804326
73,Alchemist,2,1,1,1,0,2,0,0,1,0.477240057,538.3694298,646.4398658,6.240057499,7.741734547,11.06133206
74,Invoker,1,0,3,2,0,0,1,1,0,0.490989011,477.723956,423.9841758,9.071648352,7.463736264,12.65010989
75,Silencer,1,1,1,2,0,0,0,0,2,0.52894356,399.7684515,362.6324168,7.518089725,8.798118669,11.07018813
76,Outworld Devourer,2,0,2,1,0,0,0,0,0,0.445585216,433.0246407,391.6776181,7.960985626,8.018480493,8.652977413
77,Lycanthrope,2,0,0,0,1,1,1,3,0,0.493273543,461.690583,437.9843049,6.917040359,7.082959641,7.094170404
78,Brewmaster,1,0,1,2,0,2,0,0,3,0.484320557,448.3867596,384.4216028,6.174216028,7.449477352,12.22996516
79,Shadow Demon,0,2,1,2,0,0,0,0,1,0.400651466,340.1074919,307.2442997,4.596091205,10.05537459,12.54723127
80,Lone Druid,2,0,0,0,1,1,0,3,0,0.396551724,420.8362069,416.8074713,4.67816092,6.399425287,8.261494253
81,Chaos Knight,3,0,0,2,0,2,0,2,1,0.543147208,461.5812183,420.1243655,9.090101523,7.996192893,10.25634518
82,Meepo,2,0,2,1,0,0,2,1,1,0.43220339,571.1186441,425.3283898,7.828389831,8.671610169,7.06779661
83,Treant Protector,0,3,0,1,0,1,1,0,2,0.490153173,339.512035,309.1597374,2.838074398,7.107221007,8.726477024
84,Ogre Magi,0,2,2,2,0,1,0,0,1,0.542976939,394.9046122,335.4287212,5.519916143,7.93081761,13.76624738
85,Undying,0,1,1,1,0,2,0,0,0,0.592989289,405.3972736,361.8841285,6.604673807,8.394352483,18.22297955
86,Rubick,0,2,1,1,0,0,0,0,0,0.442514475,344.4350703,305.4813896,4.153019024,9.551695616,12.94210091
87,Disruptor,0,2,1,2,0,0,0,0,1,0.52724595,366.6995582,324.0500736,5.394698085,8.858615611,15.53902798
88,Nyx Assassin,0,0,2,2,0,0,1,0,2,0.480182927,440.4268293,356.7896341,9.318597561,8.855182927,12.14939024
89,Naga Siren,3,1,0,2,0,0,1,2,1,0.460122699,417.196319,402.0644172,4.607361963,6.782208589,10.18404908
90,Keeper of the Light,0,3,2,1,1,0,0,0,0,0.479674797,356.097561,333.75,3.337398374,7.678861789,10.95934959
91,Wisp,0,3,1,0,0,0,2,0,0,0.43902439,314.597561,281.1036585,3.06097561,9.094512195,12.21036585
92,Visage,0,1,2,1,0,1,0,1,0,0.458128079,354.6847291,338.4236453,7.019704433,8.098522167,11.03940887
93,Slark,2,0,1,1,0,0,3,0,0,0.474544312,515.247643,438.0062854,10.33500943,8.252671276,10.53488372
94,Medusa,3,0,0,1,0,1,0,0,0,0.523529412,510.0617647,467.95,6.170588235,6.029411765,11.72058824
95,Troll Warlord,3,0,0,1,0,1,0,2,0,0.518776078,485.566064,445.7093185,8.175243394,8.49930459,9.197496523
96,Centaur Warrunner,0,0,1,1,0,3,1,0,3,0.513416816,426.1431127,383.2844365,6.663685152,8.46332737,13.35062612
97,Magnus,0,0,1,2,0,0,1,0,3,0.467132867,428,370.0559441,5.538461538,8.352447552,13.26993007
98,Timbersaw,0,0,3,0,0,2,2,0,0,0.43554007,451.3344948,399.6515679,8.193379791,8.886759582,11.63240418
99,Bristleback,2,0,1,0,0,3,0,0,1,0.499107143,462.6205357,404.1794643,7.645535714,8.138392857,13.95982143
100,Tusk,0,0,1,2,0,0,0,0,2,0.508496732,441.345098,384.6594771,10.12614379,9.407189542,13.28823529
101,Skywrath Mage,0,2,3,1,0,0,0,0,0,0.435413643,374.7285922,326.4978229,7.673439768,9.149492017,11.58345428
102,Abaddon,1,2,0,0,0,2,0,0,0,0.585657371,454.6613546,392.4833997,6.483399734,6.800796813,13.39043825
103,Elder Titan,0,0,1,1,0,1,0,0,2,0.522088353,381.746988,334.3413655,4.365461847,8.124497992,14.09638554
104,Legion Commander,1,0,1,2,0,1,0,0,1,0.505715592,501.1559214,447.6520348,8.792409694,8.020576132,10.18655693
106,Ember Spirit,2,0,1,1,0,0,3,0,1,0.465259455,503.0835532,452.9041337,9.043975374,7.802110818,12.55408971
107,Earth Spirit,0,0,2,1,0,1,2,0,1,0.438961039,350.1350649,307.7298701,4.6,8.958441558,13.01038961
108,Abyssal Underlord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Terrorblade,3,0,1,0,0,0,0,2,0,0.462102689,435.8679707,421.2616137,6.843520782,8.696821516,8.709046455
110,Phoenix,0,1,3,1,0,0,2,0,2,0.50660793,406.4625551,345.6718062,5.878854626,8.40969163,16.09471366
105,Techies,0,0,3,1,0,0,0,0,0,0.462711864,282.5508475,295.4016949,8.227118644,9.042372881,6.230508475
111,Oracle,0,3,3,2,0,0,1,0,0,0.408510638,349.0553191,307.0340426,5.65106383,8.706382979,9.561702128
112,Winter Wyvern,0,3,1,2,0,0,0,0,0,0.459701493,349.2776119,307.8164179,3.77761194,8.134328358,12.10149254
