resuFALSEt.match_id,resuFALSEt.radiant_TRUEin,resuFALSEt.duration,resuFALSEt.pFALSEayer_1_hero_id,resuFALSEt.pFALSEayer_2_hero_id,resuFALSEt.pFALSEayer_3_hero_id,resuFALSEt.pFALSEayer_4_hero_id,resuFALSEt.pFALSEayer_5_hero_id,resuFALSEt.pFALSEayer_6_hero_id,resuFALSEt.pFALSEayer_7_hero_id,resuFALSEt.pFALSEayer_8_hero_id,resuFALSEt.pFALSEayer_9_hero_id,resuFALSEt.pFALSEayer_10_hero_id
1729093623,TRUE,1785,40,19,10,25,83,37,17,100,8,9
1729093624,FALSE,2690,87,106,19,7,43,41,74,101,93,4
1729093625,FALSE,2995,62,1,34,86,96,9,18,22,4,35
1729093626,FALSE,1061,43,71,37,89,25,107,106,11,21,14
1729093627,TRUE,1921,67,30,71,16,32,47,107,62,11,98
1729093629,TRUE,2488,101,5,36,99,63,93,64,57,98,84
1729093651,FALSE,2336,33,93,88,30,67,70,37,56,22,42
1729093652,TRUE,2669,4,19,63,15,31,12,60,9,21,20
1729093654,FALSE,3235,52,53,88,39,85,86,47,74,4,98
1729093655,TRUE,3351,75,93,62,7,94,39,14,101,19,71
1729093656,TRUE,2410,2,84,1,30,44,70,35,52,73,6
1729093657,TRUE,2599,72,110,97,11,28,70,26,101,12,39
1729093658,FALSE,3766,16,9,109,93,29,86,36,39,75,1
1729093659,TRUE,2877,62,7,48,28,11,94,4,22,21,52
1729093660,FALSE,933,4,47,83,17,12,43,18,23,34,75
1729093662,FALSE,2036,44,84,25,47,11,42,72,57,4,26
1729093663,TRUE,2102,103,47,51,96,95,106,36,49,13,25
1729093665,FALSE,3111,12,32,55,52,41,1,5,4,17,8
1729093666,TRUE,3419,14,36,35,105,49,8,41,9,48,17
1729093667,TRUE,2573,1,72,71,112,88,44,57,21,17,75
1729093668,FALSE,2669,59,26,85,44,74,29,8,99,54,19
1729093669,TRUE,3539,12,13,22,86,44,14,38,105,7,97
1729093671,TRUE,321,11,64,78,3,95,59,103,20,66,4
1729093693,TRUE,2256,42,75,73,81,65,100,28,13,15,11
1729093694,TRUE,2276,17,26,63,44,41,32,25,8,62,104
1729093695,FALSE,2570,27,4,69,11,1,39,42,54,25,17
1729093696,FALSE,1812,81,59,99,91,33,13,97,20,50,15
1729093697,TRUE,3452,102,95,4,56,62,23,57,77,26,25
1729093698,TRUE,2762,101,104,44,100,97,14,95,35,73,72
1729093699,TRUE,2561,4,100,25,21,7,35,65,23,74,105
1729093700,TRUE,2538,6,30,96,20,57,14,28,22,5,26
1729093703,TRUE,2577,12,29,39,32,43,60,100,25,14,62
1729093704,TRUE,1882,4,51,25,28,67,6,60,29,19,81
1729093705,FALSE,2149,41,83,0,89,3,26,38,88,32,69
1729093709,FALSE,2939,99,72,8,41,55,73,61,62,17,102
1729093710,FALSE,2951,35,70,12,69,25,71,2,26,32,61
1729093711,FALSE,3751,14,75,105,42,32,71,87,93,17,7
1729093712,TRUE,3497,104,7,60,49,14,82,102,16,57,75
1729093713,TRUE,1969,8,83,5,62,19,25,1,102,61,47
1729093714,FALSE,3329,94,47,22,1,102,34,18,32,4,52
1729093715,FALSE,2894,74,62,55,73,25,104,21,51,13,44
1729093716,FALSE,2796,2,26,25,6,49,56,7,106,57,16
1729093717,FALSE,1820,25,8,72,21,23,22,99,30,12,45
1729093718,TRUE,2164,105,101,14,56,8,75,78,4,63,76
1729093738,TRUE,2658,12,30,39,14,75,74,17,18,32,44
1729093739,FALSE,2616,52,71,12,21,23,88,17,55,1,104
1729093740,FALSE,2479,29,4,34,93,1,8,31,39,99,101
1729093741,FALSE,3013,8,62,17,72,75,100,18,56,21,93
1729093742,TRUE,1947,8,22,2,70,94,110,27,29,6,82
1729093743,FALSE,385,28,42,49,25,88,96,81,23,105,36
1729093746,FALSE,3809,74,53,83,92,6,106,12,97,105,90
1729093747,FALSE,2965,32,17,44,78,72,84,89,93,7,102
1729093748,TRUE,1240,30,9,14,21,58,28,70,4,35,6
1729093749,TRUE,1946,112,72,51,47,30,10,59,91,101,105
1729093751,FALSE,2059,71,16,61,14,47,22,4,19,94,43
1729093752,FALSE,2296,39,3,56,98,78,81,99,71,32,28
1729093753,TRUE,2071,2,36,7,11,28,44,30,39,62,33
1729093755,TRUE,2044,4,93,9,39,71,6,41,109,112,26
1729093770,TRUE,2221,21,94,7,2,22,12,62,95,64,18
1729093772,FALSE,1859,41,106,86,103,44,71,96,104,47,6
1729093773,FALSE,2553,36,14,73,17,22,11,68,23,1,39
1729093774,FALSE,1524,26,54,39,12,62,106,7,61,11,104
1729093775,FALSE,3016,42,14,11,48,20,2,43,106,21,9
1729093777,FALSE,3434,77,27,34,40,101,71,85,14,45,56
1729093778,TRUE,2151,14,4,7,36,5,33,85,97,1,25
1729093779,TRUE,3501,47,31,93,16,26,21,36,29,32,8
1729093780,FALSE,2464,16,72,75,77,98,42,7,28,12,63
1729093781,FALSE,2676,56,4,57,17,26,22,36,29,107,42
1729093782,TRUE,2648,101,59,74,97,54,75,11,4,105,67
1729093783,FALSE,2458,61,47,69,76,71,11,100,30,106,25
1729093785,FALSE,2964,21,61,25,28,55,42,106,36,85,30
1729093787,FALSE,3003,18,17,56,105,35,25,49,104,22,75
1729093788,TRUE,2206,72,27,4,42,26,46,21,6,86,31
1729093789,TRUE,2152,72,88,73,81,57,101,49,61,8,1
1729093790,FALSE,1996,70,34,93,30,14,44,62,90,104,35
1729093791,TRUE,2497,4,11,42,59,6,84,32,51,72,7
1729093792,TRUE,1589,4,105,34,102,104,12,22,41,8,3
1729093794,FALSE,3171,39,63,30,28,36,77,7,105,93,82
1729093795,TRUE,3033,86,8,69,17,99,1,25,7,98,11
1729093814,FALSE,2583,29,73,105,18,39,8,76,22,99,101
1729093815,TRUE,2558,86,35,7,42,23,4,39,29,109,112
1729093816,TRUE,3399,100,14,84,67,25,104,7,1,2,30
1729093817,FALSE,3171,62,39,75,8,88,7,17,23,14,25
1729093818,TRUE,3816,7,1,74,12,106,19,25,20,32,31
1729093819,FALSE,2602,73,1,26,34,55,14,37,67,100,42
1729093820,TRUE,2442,33,5,1,42,25,59,99,11,8,27
1729093821,TRUE,2403,29,52,72,25,42,1,99,62,17,22
1729093823,TRUE,2516,104,17,26,71,14,54,2,46,36,55
1729093825,FALSE,2810,11,73,62,4,13,104,44,35,32,14
1729093826,FALSE,3111,1,4,14,41,60,32,82,8,27,62
1729093830,TRUE,2176,9,44,86,36,5,105,99,14,46,94
1729093832,TRUE,1675,8,52,62,10,86,17,85,25,36,56
1729093833,FALSE,2461,32,71,62,17,112,20,44,21,49,101
1729093834,FALSE,2661,31,52,17,61,57,28,18,72,43,49
1729093836,FALSE,3277,11,22,7,97,26,85,29,17,1,33
1729093837,TRUE,3335,52,36,35,59,1,93,84,12,13,34
1729093838,FALSE,2279,5,59,4,58,25,14,15,110,50,81
1729093839,FALSE,1499,104,14,25,8,39,42,98,1,70,86
1729093841,FALSE,3501,51,39,61,16,72,73,7,104,2,106
1729093842,FALSE,2133,44,25,56,86,96,11,100,17,63,112
1729093865,FALSE,1958,75,72,46,99,27,26,7,60,12,74
1729093868,FALSE,2038,74,106,51,35,52,57,11,62,36,77
1729093869,FALSE,927,94,83,106,101,89,67,32,71,62,48
1729093870,TRUE,1983,52,8,29,2,88,26,101,46,94,65
1729093872,TRUE,1953,71,70,85,27,8,32,4,14,6,28
1729093873,TRUE,2159,104,34,40,105,9,11,32,84,106,1
1729093874,TRUE,2545,73,52,84,14,100,34,50,16,88,94
1729093875,FALSE,3095,70,21,42,14,44,30,59,48,95,28
1729093876,FALSE,2055,21,61,72,53,20,1,52,75,71,11
1729093877,TRUE,2473,74,7,6,28,52,17,97,71,21,86
1729093878,TRUE,2026,14,16,26,4,17,86,34,99,102,39
1729093879,FALSE,1854,4,57,43,36,18,33,78,6,93,31
1729093880,FALSE,1805,85,77,21,45,59,5,110,71,14,70
1729093902,FALSE,2845,51,48,13,26,68,72,62,17,103,5
1729093903,FALSE,3432,4,27,93,11,86,8,21,23,71,25
1729093904,FALSE,1948,77,97,86,47,41,83,111,85,62,99
1729093905,FALSE,2225,11,55,94,21,75,1,62,25,2,57
1729093906,FALSE,2212,57,36,54,73,44,45,59,32,17,22
1729093907,TRUE,4054,99,7,94,22,36,62,11,67,51,42
1729093908,TRUE,2358,17,32,71,88,74,56,62,21,94,7
1729093909,TRUE,1547,41,94,106,27,53,35,7,21,2,32
1729093911,TRUE,2297,59,107,33,32,31,88,86,21,25,81
1729093913,FALSE,2119,17,42,74,90,14,9,11,12,98,86
1729093914,FALSE,3991,105,3,14,42,1,41,8,39,63,45
1729093915,TRUE,2631,93,110,106,18,30,25,7,61,6,26
1729093917,FALSE,2124,30,42,58,12,17,4,107,31,35,11
1729093919,FALSE,1469,41,4,2,57,10,105,74,86,70,8
1729093920,TRUE,2570,88,4,21,57,44,62,30,17,74,19
1729093921,FALSE,2238,8,39,93,29,51,81,2,64,4,96
1729093922,FALSE,1604,35,11,2,37,78,21,56,77,14,100
1729093923,FALSE,1651,5,54,98,95,14,6,20,63,100,49
1729093925,FALSE,2095,57,54,35,22,85,62,36,47,14,7
1729093926,FALSE,2423,1,33,14,81,70,35,57,32,56,4
1729093949,FALSE,2835,106,103,111,12,30,1,104,53,25,26
1729093950,TRUE,1507,19,17,6,55,48,14,85,12,41,65
1729093951,TRUE,2315,90,51,62,12,52,22,8,58,17,56
1729093952,TRUE,2800,53,25,31,48,5,44,59,64,7,71
1729093953,FALSE,2774,39,59,17,67,4,8,2,98,7,1
1729093954,FALSE,2484,81,4,47,48,62,14,70,95,54,32
1729093955,FALSE,3074,33,48,71,62,8,19,11,53,26,4
1729093956,TRUE,1983,8,11,36,12,14,44,78,52,39,71
1729093957,FALSE,2718,101,72,34,44,75,70,54,17,50,71
1729093959,TRUE,2048,6,82,38,33,75,7,26,104,20,83
1729093960,FALSE,2005,14,40,48,6,19,7,81,16,18,47
1729093973,FALSE,3203,65,98,12,25,88,62,21,6,2,44
1729093974,FALSE,2478,29,8,47,75,74,68,112,39,1,51
1729093976,TRUE,2673,100,80,40,74,6,11,65,109,46,75
1729093977,FALSE,2576,10,4,34,74,86,14,1,39,104,9
1729093978,FALSE,3247,60,112,10,56,21,34,90,102,46,62
1729093979,TRUE,2636,4,68,17,25,47,1,11,102,31,112
1729093982,TRUE,1940,39,105,12,7,72,4,52,112,71,62
1729093983,FALSE,2596,44,17,80,25,33,101,67,4,6,16
1729093984,FALSE,3363,21,100,7,93,71,8,62,75,87,18
1729093985,FALSE,1725,77,82,86,43,89,47,55,28,53,8
1729093986,TRUE,1970,85,49,93,106,86,84,79,19,40,4
1729093987,TRUE,3376,11,106,86,56,47,9,70,30,75,72
1729093989,TRUE,2669,32,57,1,55,97,52,105,25,28,2
1729093991,FALSE,1977,46,83,106,74,85,17,21,44,52,105
1729094010,FALSE,2032,13,97,94,6,23,19,4,14,87,44
1729094011,TRUE,1441,107,47,33,106,21,26,4,19,25,67
1729094012,FALSE,2913,40,39,2,51,67,17,27,93,5,41
1729094014,FALSE,165,62,26,96,25,32,47,40,21,54,71
1729094015,TRUE,2650,7,14,21,62,1,22,72,16,10,52
1729094016,TRUE,1171,110,14,1,74,59,63,105,54,83,6
1729094017,TRUE,2824,72,71,22,25,31,32,7,63,100,12
1729094018,TRUE,2794,72,22,15,50,42,57,38,47,1,3
1729094020,FALSE,2557,63,51,8,58,26,14,74,70,43,4
1729094021,TRUE,1981,11,32,1,54,5,74,30,62,26,70
